DATE,DID,ROUTE,SID,TIME,VID,timestamp
2018-11-12,12___I_F00,12,5842,1542009703.0,8912,2018-11-12 08:01:43-08:00
2018-11-12,14___I_F00,14,5553,1542009718.0,7232,2018-11-12 08:01:58-08:00
2018-11-12,12___O_F00,12,3936,1542009718.0,8731,2018-11-12 08:01:58-08:00
2018-11-12,12___O_F00,12,6334,1542009718.0,8728,2018-11-12 08:01:58-08:00
2018-11-12,14___I_F00,14,7299,1542009718.0,7220,2018-11-12 08:01:58-08:00
2018-11-12,12___O_F00,12,3931,1542009718.0,8731,2018-11-12 08:01:58-08:00
2018-11-12,12___O_F00,12,3935,1542009718.0,8731,2018-11-12 08:01:58-08:00
2018-11-12,12___O_F00,12,3238,1542009718.0,8766,2018-11-12 08:01:58-08:00
2018-11-12,14___I_F00,14,5542,1542009733.0,7272,2018-11-12 08:02:13-08:00
2018-11-12,14___I_F00,14,5567,1542009733.0,7229,2018-11-12 08:02:13-08:00
2018-11-12,14___O_F00,14,5835,1542009733.0,7237,2018-11-12 08:02:13-08:00
2018-11-12,14___I_F00,14,5620,1542009733.0,7283,2018-11-12 08:02:13-08:00
2018-11-12,12___O_F00,12,5851,1542009733.0,8705,2018-11-12 08:02:13-08:00
2018-11-12,14___I_F00,14,5693,1542009748.0,7254,2018-11-12 08:02:28-08:00
2018-11-12,12___I_F00,12,7552,1542009748.0,8932,2018-11-12 08:02:28-08:00
2018-11-12,14___I_F00,14,5585,1542009748.0,7250,2018-11-12 08:02:28-08:00
2018-11-12,14___I_F00,14,5542,1542009763.0,7275,2018-11-12 08:02:43-08:00
2018-11-12,12___I_F00,12,5837,1542009763.0,8912,2018-11-12 08:02:43-08:00
2018-11-12,14___O_F00,14,5543,1542009763.0,7286,2018-11-12 08:02:43-08:00
2018-11-12,14___I_F00,14,5544,1542009763.0,7220,2018-11-12 08:02:43-08:00
2018-11-12,12___O_F00,12,4665,1542009763.0,8766,2018-11-12 08:02:43-08:00
2018-11-12,12___O_F00,12,5844,1542009778.0,8705,2018-11-12 08:02:58-08:00
2018-11-12,14___O_F00,14,5548,1542009778.0,7237,2018-11-12 08:02:58-08:00
2018-11-12,12___O_F00,12,7312,1542009778.0,8731,2018-11-12 08:02:58-08:00
2018-11-12,12___O_F00,12,4680,1542009778.0,8731,2018-11-12 08:02:58-08:00
2018-11-12,14___I_F00,14,5624,1542009793.0,7283,2018-11-12 08:03:13-08:00
2018-11-12,14___I_F00,14,5541,1542009808.0,7272,2018-11-12 08:03:28-08:00
2018-11-12,14___I_F00,14,5574,1542009808.0,7250,2018-11-12 08:03:28-08:00
2018-11-12,12___I_F00,12,7737,1542009823.0,8912,2018-11-12 08:03:43-08:00
2018-11-12,14___O_F00,14,5528,1542009823.0,7225,2018-11-12 08:03:43-08:00
2018-11-12,12___O_F00,12,4676,1542009839.0,8731,2018-11-12 08:03:59-08:00
2018-11-12,12___O_F00,12,5839,1542009839.0,8705,2018-11-12 08:03:59-08:00
2018-11-12,14___I_F00,14,5542,1542009839.0,7220,2018-11-12 08:03:59-08:00
2018-11-12,14___I_F00,14,5551,1542009839.0,7232,2018-11-12 08:03:59-08:00
2018-11-12,12___O_F00,12,3013,1542009839.0,8728,2018-11-12 08:03:59-08:00
2018-11-12,12___O_F00,12,7732,1542009839.0,8731,2018-11-12 08:03:59-08:00
2018-11-12,14___I_F00,14,7129,1542009854.0,7272,2018-11-12 08:04:14-08:00
2018-11-12,14___I_F00,14,5565,1542009854.0,7229,2018-11-12 08:04:14-08:00
2018-11-12,14___O_F00,14,5552,1542009854.0,7237,2018-11-12 08:04:14-08:00
2018-11-12,14___I_F00,14,5628,1542009869.0,7250,2018-11-12 08:04:29-08:00
